SCHOOLID,OBJECTID,SCHOOL_NAM,ROUTE_NUMB,SHAPE_LENG,BUFF_DIST,SHAPE_AREA,SHAPE_LEN
610530,18,SOUTHSHORE,17,1746.426462780000065,660,3583247.114800000097603,7396.457334519999677
610242,19,BRENNEMANN,18,7667.4210221000003,660,12505912.578400000929832,17126.002260099998239
610355,20,COURTENAY,19,6923.014771189999919,660,9494007.964469999074936,14773.478860799999893
610290,24,MAYS,23,6947.932573629999752,660,7151249.906619999557734,10686.510844300000826
610208,8,LAVIZZO,7,7930.799229590000323,660,10669278.750700000673532,17812.684111200000189
609971,17,HARVARD,16,7970.638089539999783,660,9428645.143090000376105,15344.482635200000004
609808,22,HALEY,21,8937.945409039999504,660,8598878.341819999739528,14819.800881400000435
610252,32,DETT,31,7817.670866370000113,660,7031696.969309999607503,10252.263045800000327
610223,23,WENTWORTH,22,7287.374227250000331,660,9735271.079050000756979,16258.596149000000878
610055,34,FARADAY,33,1964.034944120000091,660,3606563.119070000015199,7137.986122459999933
609793,25,NICHOLSON TECH ACAD,24,7741.579959269999563,660,11211335.47690000012517,18494.085273000000598
610153,26,RYDER,25,8996.766657030000715,660,8153391.216020000167191,12178.543311499999618
609985,35,HEFFERAN,34,3628.367261559999861,660,4871662.308109999634326,8310.712624910000159
609791,27,BASS,26,6296.467742789999647,660,9323011.772269999608397,15752.121662100000322
609854,38,CHOPIN,37,6362.348169240000061,660,6955319.116019999608397,10426.452475800000684
609897,28,EARLE,27,6305.23015020999992,660,11155925.049000000581145,18551.546451199999865
610004,7,CULLEN,6,3330.196810689999893,660,5482449.496340000070632,9956.525703710000016
610251,31,CATHER,30,4984.72476370000004,660,7120535.655670000240207,14937.087027199999284
610293,36,MELODY,35,4636.681085770000209,660,7123430.983500000089407,12360.851430999999138
610202,37,TILTON,36,4138.574443819999942,660,4974712.031860000453889,9489.358254579999993
610107,39,OTIS,38,4072.16858276999983,660,6485699.783850000239909,11556.075954100000672
610274,40,JOHNSON,39,7082.888584309999715,660,6943448.494149999693036,10445.3460742999996
610133,41,"WARD, L",40,6009.995504599999549,660,7328600.033019999973476,11605.052900900000168
610313,42,DIEGO,41,4655.339682150000044,660,5901831.104150000028312,9256.825492519999898
610276,43,MOLLISON,42,7952.535931729999902,660,9250750.250700000673532,15237.590662799999336
610305,44,LELAND,43,4433.606142360000376,660,5650322.137559999711812,9658.365781700000298
610213,45,WADSWORTH,44,7313.052083499999753,660,8264785.952399999834597,12476.000554500000362
609955,9,GRESHAM,8,6641.043634069999825,660,7448130.063319999724627,10659.942411199999697
609821,46,BURNHAM,45,5590.175112310000259,660,10677363.070199999958277,21557.227155199998379
610024,50,CARDENAS/CASTELLANOS,50,7267.509343810000246,660,8748596.729089999571443,13204.383144499999617
609904,77,ELLINGTON,51,6309.596443190000173,660,6855001.720979999750853,10780.026504299999942
610367,52,DE PRIEST,52,7122.475710949999666,660,7625540.093000000342727,11202.519343199999639
610005,54,"HUGHES, C",54,3329.212755689999995,660,4706115.319649999961257,8979.679041960000177
609894,55,DRAKE,55,17337.180839500000729,660,12681695.949799999594688,20115.827715200000966
610110,236,"WELLS, I",57,2180.119004029999815,660,4329736.950720000080764,7841.730485969999791
610126,56,PERSHING,56,8636.63865301000078,660,9206670.216639999300241,14990.121873000000051
610269,238,MCCUTCHEON,59,200.925198779999988,660,2068133.471140000037849,5126.996758799999952
610271,59,JENSEN,28,8262.581907120000324,660,10771293.11460000090301,14576.34007659999952
609954,62,GREGORY,29,5108.447026480000204,660,8110599.908219999633729,14363.01258609999968
610070,70,MCPHERSON,58,169.527337939999995,660,2614469.069850000087172,5822.685017650000191
610257,235,MORTON,49,9292.068290920000436,660,13257922.83699999935925,21596.172445500000322
609852,1,CHAPPELL,46,7315.889779039999667,660,10929758.072399999946356,18491.802664999999251
610263,2,DULLES,1,9956.112180140000419,660,8576887.229539999738336,12342.810942500000237
609919,3,FISKE,2,5318.492653280000013,660,7369791.85912000015378,11750.371838999999454
609943,4,GOMPERS,3,2600.877694320000046,660,4800629.345230000093579,9347.894384040000659
610173,5,SHERWOOD,4,7248.481541420000212,660,9081590.969019999727607,15134.531505700000707
610368,6,"HUGHES, L",5,3955.768836679999822,660,6401306.386869999580085,11489.698882200000298
610051,10,NORTHWEST,9,11724.526648900000509,660,15683665.232599999755621,25329.158922800001164
610321,11,"MARSHALL, T",10,2658.728860180000083,660,4501889.881609999574721,8326.772053380000216
610146,12,REVERE,11,2288.497742160000143,660,4032089.649939999915659,7733.784353709999777
610108,13,O'TOOLE,12,6925.232030000000123,660,10152237.686799999326468,17005.880549900000915
609900,14,CURTIS,13,5984.631965259999561,660,8212317.581969999708235,12880.935059999999794
