CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,LOCATION
12/08/2014,Completed,12/19/2014,14-02097635,Pothole in Street,Final Outcome,Pothole Patched,13,2841 W CORTEZ ST,60622,1157139.1499221,1906967.38781814,26,12,24,41.900375591646245,-87.69846531530834,"(41.900375591646245, -87.69846531530834)"
12/05/2014,Completed,12/19/2014,14-02089837,Pothole in Street,Final Outcome,Pothole Patched,12,2200 W WALTON ST,60622,1161565.62821316,1906297.48787744,32,12,24,41.8986656462835,-87.68214903423387,"(41.8986656462835, -87.68214903423387)"
11/30/2014,Completed,12/19/2014,14-02056137,Pothole in Street,Final Outcome,Pothole Patched,13,2530 W HURON ST,60612,1159408.85839145,1904583.45843328,26,12,24,41.894015827626816,-87.6905209530173,"(41.894015827626816, -87.6905209530173)"
11/13/2014,Completed,12/19/2014,14-01959771,Pothole in Street,Final Outcome,Pothole Patched,13,1200 N CHERRY AVE,60642,1169152.64759998,1908176.29913287,32,18,8,41.90353862601486,-87.65426278792667,"(41.90353862601486, -87.65426278792667)"
11/13/2014,Completed,12/19/2014,14-01964083,Pothole in Street,Final Outcome,Pothole Patched,15,2107 W OHIO ST,60612,1162251.60480897,1903995.62487371,26,12,24,41.89211457060882,-87.67974240075479,"(41.89211457060882, -87.67974240075479)"
11/13/2014,Completed,12/19/2014,14-01964109,Pothole in Street,Final Outcome,Pothole Patched,15,2235 W OHIO ST,60612,1161396.47588835,1903969.37568879,26,12,24,41.89205351310903,-87.68325463891594,"(41.89205351310903, -87.68325463891594)"
10/03/2014,Completed,12/19/2014,14-01684807,Pothole in Street,Final Outcome,Pothole Patched,15,1101 N CHERRY AVE,60642,1169696.55592291,1907322.52652929,32,18,8,41.90128818328054,-87.65203465903213,"(41.90128818328054, -87.65203465903213)"
09/24/2014,Completed,12/19/2014,14-01617918,Pothole in Street,Final Outcome,Pothole Patched,5,870 N MOZART ST,60622,1157222.35158435,1905826.27577434,26,12,24,41.89771555780873,-87.69814482098697,"(41.89771555780873, -87.69814482098697)"
09/22/2014,Completed,12/19/2014,14-01602849,Pothole in Street,Final Outcome,Pothole Patched,8,906 N FRANCISCO AVE,60622,1156882.05990774,1906103.70133056,26,12,24,41.89829000684254,-87.69938290815296,"(41.89829000684254, -87.69938290815296)"
09/01/2014,Completed,12/19/2014,14-01454139,Pothole in Street,Final Outcome,Pothole Patched,11,1200 N CHERRY AVE,60642,1169152.64759998,1908176.29913287,32,18,8,41.90353862601486,-87.65426278792667,"(41.90353862601486, -87.65426278792667)"
08/26/2014,Completed,12/19/2014,14-01422630,Pothole in Street,Final Outcome,Pothole Patched,4,2200 W GRAND AVE,60612,1161647.11248123,1903450.10763402,26,12,24,41.890850393536645,-87.68192938676242,"(41.890850393536645, -87.68192938676242)"
08/05/2014,Completed,12/19/2014,14-01273197,Pothole in Street,Final Outcome,Pothole Patched,8,2004 W OHIO ST,60612,1162937.92837431,1904015.75999657,26,12,24,41.892374048389684,-87.67722569545401,"(41.892374048389684, -87.67722569545401)"
08/05/2014,Completed,12/19/2014,14-01273214,Pothole in Street,Final Outcome,Pothole Patched,16,2123 W OHIO ST,60612,1162143.80480897,1903992.22487371,26,12,24,41.892104040736065,-87.68035038881865,"(41.892104040736065, -87.68035038881865)"
